Timestamp,Memo,Amount,Tx_Fee
2024-09-30 13:00:00,Sold 10 shares of spy,3276.83,0.99
2025-10-01 13:00:00,Trade order executed: BUY 3 NVDA,-167.86,
2026-03-13 10:00:00,Liquidated 2 units of SPY,137.14,0.99
2024-08-19 12:00:00,Sold 14 shares of tsla,3035.9,0.99
2024-05-02 15:00:00,Trade order executed: BUY 10 msft,-1651.36,1.99
2025-11-24 14:00:00,Weekly payroll deposit,500.0,0.0
2024-08-25 10:00:00,Purchased 4 units of aapl,-501.19,
2024-04-27 10:00:00,Trade order executed: BUY 6.3102 btc-usd,-288608.35,4.95
2024-03-19 13:00:00,Trade order executed: BUY 15 nvda,-7159.79,
2025-11-02 9:00:00,Market order fill: SELL 11 AAPL,226.09,0.99
2026-02-02 9:00:00,Liquidated 13 units of tsla,1037.58,1.99
2024-08-14 10:00:00,Purchased 2 units of spy,-142.59,0.99
2026-05-03 13:00:00,Bought 8 shares of spy,-3640.08,1.99
2024-06-13 14:00:00,Liquidated 14 units of spy,5974.61,
2025-02-09 12:00:00,Bought 7.5397 shares of btc-usd,-279102.12,
2025-12-30 15:00:00,Deposit from checking acct,1500.0,0.0
2025-07-19 10:00:00,Liquidated 15 units of MSFT,2676.43,0.0
2024-06-09 16:00:00,Bought 13 shares of tsla,-6039.98,4.95
2025-05-18 14:00:00,Trade order executed: BUY 9 nvda,-3740.4,0.0
2025-10-17 15:00:00,Bought 5 shares of nvda,-679.22,1.99
2024-10-21 15:00:00,Purchased 19 units of SPY,-2667.13,0.0
2026-02-23 15:00:00,Bought 17 shares of TSLA,-4976.71,
2026-01-02 14:00:00,Bought 19 shares of AAPL,-4571.78,4.95
2024-12-08 12:00:00,Bought 4 shares of NVDA,-838.44,
2025-12-19 12:00:00,Bought 6 shares of spy,-2326.01,0.0
2025-02-27 10:00:00,Trade order executed: BUY 17 tsla,-3561.3,1.99
2024-09-12 15:00:00,Bought 6 shares of AAPL,-956.64,0.99
2026-02-15 16:00:00,Purchased 6 units of aapl,-672.85,0.0
2025-04-26 13:00:00,Trade order executed: BUY 12 nvda,-3549.09,0.99
2024-04-12 11:00:00,Purchased 7 units of AAPL,-2207.45,
2024-11-13 11:00:00,Purchased 13 units of AAPL,-5015.35,1.99
2024-12-31 10:00:00,Deposit from checking acct,500.0,0.0
2024-09-23 16:00:00,Sold 15 shares of MSFT,297.86,
2024-08-11 10:00:00,Trade order executed: BUY 2 NVDA,-871.17,0.99
